;files;Glasses?;forehead_up;forehead_ey;nose;eye_brows;hair_style;hair_type;facial_hair;jaw;ears;cheek_lines;mouth;eye_lines;face_shape
154;.\database\CHICAGO_MIX\C_FACE_MIX_0154.jpg;N;Square;Wide set;Upturned;Angled;Medium length;Straight;clean shaven;trianagle;pointed;no dimples;full;almond;round
155;.\database\CHICAGO_MIX\C_FACE_MIX_0155.jpg;N;Long;Close Set;Funnel;Angled;Medium length;Wavy;clean shaven;trianagle;sticking out;no dimples;full;almond;square
156;.\database\CHICAGO_MIX\C_FACE_MIX_0156.jpg;N;Long;Wide set;Funnel;Angled;Bob;Wavy;clean shaven;oval;narrow;short dimplees;thin upper;upturned;round
157;.\database\CHICAGO_MIX\C_FACE_MIX_0157.jpg;N;Square;Wide set;Funnel;Rounded;Pony Tail;Straight;clean shaven;fat;pointed;freckles;full;hooded;round
158;.\database\CHICAGO_MIX\C_FACE_MIX_0158.jpg;N;Oval;Close Set;Button;Soft Angled;Medium length;Straight;clean shaven;diamond;sticking out;no dimples;full;almond;square
159;.\database\CHICAGO_MIX\C_FACE_MIX_0159.jpg;N;Square;Close Set;Funnel;Rounded;Bob;Straight;clean shaven;trianagle;narrow;no dimples;full;monolid;square
160;.\database\CHICAGO_MIX\C_FACE_MIX_0160.jpg;N;Long;Wide set;Button;Flat;Medium length;Straight;clean shaven;fat;pointed;short dimplees;natural;hooded;oval
161;.\database\CHICAGO_MIX\C_FACE_MIX_0161.jpg;N;Square;Wide set;Button;Rounded;Medium length;Coily;clean shaven;diamond;x;short dimplees;full;upturned;square
162;.\database\CHICAGO_MIX\C_FACE_MIX_0162.jpg;N;Square;Wide set;Funnel;Rounded;Medium length;Straight;clean shaven;oval;round;no dimples;full;almond;oval
163;.\database\CHICAGO_MIX\C_FACE_MIX_0163.jpg;N;Long;Wide set;Funnel;Soft Angled;Pony Tail;Straight;clean shaven;oval;narrow;no dimples;natural;hooded;round
164;.\database\CHICAGO_MIX\C_FACE_MIX_0164.jpg;N;Oval;Close Set;Button;Angled;Medium length;Curly;clean shaven;diamond;round;no dimples;full;almond;square
165;.\database\CHICAGO_MIX\C_FACE_MIX_0165.jpg;N;Oval;Wide set;Button;Rounded;Medium length;Wavy;clean shaven;trianagle;sticking out;short dimplees;full;monolid;oval
166;.\database\CHICAGO_MIX\C_FACE_MIX_0166.jpg;N;Round;Wide set;Button;Soft Angled;Pony Tail;Wavy;clean shaven;oval;narrow;no dimples;natural;upturned;round
167;.\database\CHICAGO_MIX\C_FACE_MIX_0167.jpg;N;Round;Wide set;Upturned;Soft Angled;Bob;Coily;clean shaven;trianagle;narrow;freckles;full;almond;oval
168;.\database\CHICAGO_MIX\C_FACE_MIX_0168.jpg;N;Square;Wide set;Droopy;Rounded;Medium length;Coily;clean shaven;oval;narrow;no dimples;natural;hooded;oval
169;.\database\CHICAGO_MIX\C_FACE_MIX_0169.jpg;N;Oval;Close Set;Funnel;Angled;Bob;Coily;clean shaven;diamond;round;no dimples;thin upper;almond;square
170;.\database\CHICAGO_MIX\C_FACE_MIX_0170.jpg;N;Square;Wide set;Button;Soft Angled;Bob;Coily;clean shaven;trianagle;narrow;no dimples;natural;downturned;oval
171;.\database\CHICAGO_MIX\C_FACE_MIX_0171.jpg;N;Square;Wide set;Funnel;Rounded;Medium length;Wavy;clean shaven;trianagle;narrow;no dimples;full;almond;square
172;.\database\CHICAGO_MIX\C_FACE_MIX_0172.jpg;N;Round;Wide set;Button;Flat;Medium length;Straight;clean shaven;trianagle;round;no dimples;full;almond;square
173;.\database\CHICAGO_MIX\C_FACE_MIX_0173.jpg;N;Oval;Wide set;Button;Rounded;Medium length;Wavy;clean shaven;diamond;round;no dimples;natural;almond;square
174;.\database\CHICAGO_MIX\C_FACE_MIX_0174.jpg;N;Round;Wide set;Button;Soft Angled;Medium length;Straight;clean shaven;oval;narrow;short dimplees;natural;almond;round
175;.\database\CHICAGO_MIX\C_FACE_MIX_0175.jpg;N;Oval;Wide set;Funnel;Angled;Medium length;Coily;clean shaven;diamond;x;short dimplees;full;upturned;square
176;.\database\CHICAGO_MIX\C_FACE_MIX_0176.jpg;N;Long;Wide set;Button;Soft Angled;Pony Tail;Straight;clean shaven;oval;round;no dimples;full;monolid;round
177;.\database\CHICAGO_MIX\C_FACE_MIX_0177.jpg;N;Long;Close Set;Snub;Flat;Pony Tail;Straight;clean shaven;oval;narrow;no dimples;full;almond;round
178;.\database\CHICAGO_MIX\C_FACE_MIX_0178.jpg;N;Round;Close Set;Button;Soft Angled;Medium length;Straight;clean shaven;trianagle;narrow;short dimplees;full;almond;oval
179;.\database\CHICAGO_MIX\C_FACE_MIX_0179.jpg;N;Round;Wide set;Button;Angled;Pony Tail;Straight;clean shaven;oval;narrow;no dimples;full;almond;round
180;.\database\CHICAGO_MIX\C_FACE_MIX_0180.jpg;N;Square;Close Set;Button;Soft Angled;Medium length;Curly;clean shaven;trianagle;narrow;no dimples;thin lower;almond;round
181;.\database\CHICAGO_MIX\C_FACE_MIX_0181.jpg;N;Long;Wide set;Funnel;Flat;Pony Tail;Coily;clean shaven;oval;sticking out;no dimples;full;monolid;round
182;.\database\CHICAGO_MIX\C_FACE_MIX_0182.jpg;N;Square;Wide set;Funnel;Soft Angled;Bob;Coily;clean shaven;oval;narrow;no dimples;full;hooded;round
183;.\database\CHICAGO_MIX\C_FACE_MIX_0183.jpg;N;Round;Wide set;Snub;Soft Angled;Bob;Curly;clean shaven;oval;narrow;no dimples;full;monolid;round
184;.\database\CHICAGO_MIX\C_FACE_MIX_0184.jpg;N;Square;Close Set;Button;Angled;Bob;Coily;clean shaven;oval;sticking out;no dimples;thin upper;hooded;round
185;.\database\CHICAGO_MIX\C_FACE_MIX_0185.jpg;N;Round;Wide set;Button;Soft Angled;Bob;Curly;clean shaven;oval;narrow;short dimplees;thin upper;upturned;oval
186;.\database\CHICAGO_MIX\C_FACE_MIX_0186.jpg;N;Long;Wide set;Button;Soft Angled;Bob;Coily;clean shaven;trianagle;narrow;no dimples;full;round;diamond
187;.\database\CHICAGO_MIX\C_FACE_MIX_0187.jpg;N;Square;Wide set;Snub;Soft Angled;Medium length;Wavy;clean shaven;oval;narrow;no dimples;thin upper;hooded;round
188;.\database\CHICAGO_MIX\C_FACE_MIX_0188.jpg;N;Round;Wide set;Snub;Rounded;Bob;Curly;clean shaven;trianagle;narrow;no dimples;full;hooded;oval
189;.\database\CHICAGO_MIX\C_FACE_MIX_0189.jpg;N;Oval;Wide set;Funnel;Rounded;Medium length;Wavy;clean shaven;oval;x;no dimples;full;downturned;round
190;.\database\CHICAGO_MIX\C_FACE_MIX_0190.jpg;N;Round;Wide set;Button;Soft Angled;Medium length;Straight;clean shaven;trianagle;pointed;short dimplees;thin upper;almond;oval
191;.\database\CHICAGO_MIX\C_FACE_MIX_0191.jpg;N;Round;Wide set;Snub;Rounded;Medium length;Straight;clean shaven;oval;x;no dimples;natural;monolid;round
192;.\database\CHICAGO_MIX\C_FACE_MIX_0192.jpg;N;Oval;Wide set;Button;Angled;Medium length;Coily;clean shaven;oval;x;no dimples;full;hooded;round
193;.\database\CHICAGO_MIX\C_FACE_MIX_0193.jpg;N;Square;Wide set;Funnel;Angled;Medium length;Wavy;clean shaven;oval;sticking out;no dimples;natural;hooded;oval
194;.\database\CHICAGO_MIX\C_FACE_MIX_0194.jpg;N;Square;Close Set;Funnel;Soft Angled;Bob;Straight;clean shaven;oval;narrow;no dimples;natural;almond;round
195;.\database\CHICAGO_MIX\C_FACE_MIX_0195.jpg;N;Square;Wide set;Snub;Soft Angled;Bob;Straight;clean shaven;diamond;narrow;no dimples;full;almond;diamond
196;.\database\CHICAGO_MIX\C_FACE_MIX_0196.jpg;N;Round;Wide set;Button;Angled;Bob;Curly;clean shaven;trianagle;narrow;no dimples;full;almond;oval
197;.\database\CHICAGO_MIX\C_FACE_MIX_0197.jpg;N;Oval;Wide set;Button;Soft Angled;Medium length;Curly;clean shaven;oval;x;no dimples;full;upturned;oval
198;.\database\CHICAGO_MIX\C_FACE_MIX_0198.jpg;N;Round;Close Set;Funnel;Angled;Medium length;Wavy;clean shaven;oval;narrow;no dimples;natural;monolid;oval
199;.\database\CHICAGO_MIX\C_FACE_MIX_0199.jpg;N;Square;Wide set;Button;Soft Angled;Bob;Wavy;clean shaven;trianagle;narrow;no dimples;natural;almond;oval
200;.\database\CHICAGO_MIX\C_FACE_MIX_0200.jpg;N;Long;Close Set;Funnel;Soft Angled;Medium length;Wavy;clean shaven;oval;narrow;no dimples;natural;almond;oval
201;.\database\CHICAGO_MIX\C_FACE_MIX_0201.jpg;N;Oval;Close Set;Funnel;Rounded;Medium length;Wavy;clean shaven;trianagle;sticking out;no dimples;full;monolid;oval
202;.\database\CHICAGO_MIX\C_FACE_MIX_0202.jpg;N;Square;Close Set;Button;Flat;Pony Tail;Coily;clean shaven;trianagle;narrow;no dimples;full;hooded;oval
203;.\database\CHICAGO_MIX\C_FACE_MIX_0203.jpg;N;Round;Wide set;Snub;Soft Angled;Medium length;Curly;clean shaven;fat;narrow;short dimplees;thin upper;almond;round
204;.\database\CHICAGO_MIX\C_FACE_MIX_0204.jpg;N;Square;Wide set;Button;Angled;Medium length;Wavy;clean shaven;trianagle;sticking out;no dimples;full;almond;oval
205;.\database\CHICAGO_MIX\C_FACE_MIX_0205.jpg;N;Square;Wide set;Snub;Soft Angled;Medium length;Wavy;clean shaven;oval;narrow;short dimplees;full;monolid;oval
206;.\database\CHICAGO_MIX\C_FACE_MIX_0206.jpg;N;Oval;Wide set;Button;Soft Angled;Bob;Coily;clean shaven;oval;sticking out;no dimples;full;monolid;oval
207;.\database\CHICAGO_MIX\C_FACE_MIX_0207.jpg;N;Oval;Close Set;Funnel;Angled;Medium length;Straight;clean shaven;trianagle;narrow;no dimples;full;monolid;oval
208;.\database\CHICAGO_MIX\C_FACE_MIX_0208.jpg;N;Round;Close Set;Button;Soft Angled;Bob;Coily;clean shaven;trianagle;narrow;short dimplees;thin upper;downturned;square
209;.\database\CHICAGO_MIX\C_FACE_MIX_0209.jpg;N;Round;Wide set;Button;Flat;Bob;Coily;clean shaven;oval;pointed;no dimples;full;hooded;round
210;.\database\CHICAGO_MIX\C_FACE_MIX_0210.jpg;N;Oval;Wide set;Funnel;Soft Angled;Bob;Coily;clean shaven;fat;narrow;no dimples;full;monolid;round
211;.\database\CHICAGO_MIX\C_FACE_MIX_0211.jpg;N;Square;Wide set;Button;Soft Angled;Bob;Curly;clean shaven;trianagle;narrow;no dimples;thin upper;hooded;oval
212;.\database\CHICAGO_MIX\C_FACE_MIX_0212.jpg;N;Long;Close Set;Button;Flat;Medium length;Wavy;clean shaven;oval;sticking out;no dimples;thin upper;upturned;oval
213;.\database\CHICAGO_MIX\C_FACE_MIX_0213.jpg;N;Square;Close Set;Snub;Flat;Shaved;Shaved;goatee;trianagle;sticking out;no dimples;full;hooded;oval
214;.\database\CHICAGO_MIX\C_FACE_MIX_0214.jpg;N;Square;Wide set;Button;Soft Angled;Shaved;Shaved;neat beard;trianagle;pointed;no dimples;full;monolid;oval
215;.\database\CHICAGO_MIX\C_FACE_MIX_0215.jpg;N;Long;Close Set;Funnel;Flat;Pixie cut;Coily;clean shaven;fat;sticking out;no dimples;full;hooded;round
216;.\database\CHICAGO_MIX\C_FACE_MIX_0216.jpg;N;Long;Close Set;Droopy;Flat;Pixie cut;Coily;clean shaven;oval;narrow;no dimples;thin upper;almond;oval
217;.\database\CHICAGO_MIX\C_FACE_MIX_0217.jpg;N;Square;Wide set;Snub;Flat;Pixie cut;Coily;stubble;oval;sticking out;no dimples;full;almond;oval
218;.\database\CHICAGO_MIX\C_FACE_MIX_0218.jpg;N;Round;Wide set;Button;Soft Angled;Pixie cut;Coily;clean shaven;trianagle;round;no dimples;full;monolid;oval
219;.\database\CHICAGO_MIX\C_FACE_MIX_0219.jpg;N;Square;Wide set;Snub;Flat;Pixie cut;Coily;stubble;oval;narrow;no dimples;full;hooded;oval
220;.\database\CHICAGO_MIX\C_FACE_MIX_0220.jpg;N;Square;Close Set;Button;Soft Angled;Pixie cut;Coily;clean shaven;oval;sticking out;no dimples;full;upturned;oval
221;.\database\CHICAGO_MIX\C_FACE_MIX_0221.jpg;N;Long;Wide set;Button;Angled;Shaved;Shaved;neat beard;fat;narrow;no dimples;natural;hooded;round
222;.\database\CHICAGO_MIX\C_FACE_MIX_0222.jpg;N;Square;Wide set;Button;Soft Angled;Pixie cut;Coily;clean shaven;oval;pointed;no dimples;full;monolid;oval
223;.\database\CHICAGO_MIX\C_FACE_MIX_0223.jpg;N;Long;Close Set;Button;Soft Angled;Bald;Shaved;neat beard;trianagle;narrow;no dimples;full;upturned;oval
224;.\database\CHICAGO_MIX\C_FACE_MIX_0224.jpg;N;Square;Wide set;Funnel;Angled;Pixie cut;Coily;neat beard;oval;sticking out;no dimples;natural;downturned;square
225;.\database\CHICAGO_MIX\C_FACE_MIX_0225.jpg;N;Square;Close Set;Button;Soft Angled;Pixie cut;Curly;clean shaven;oval;narrow;no dimples;natural;almond;oval
226;.\database\CHICAGO_MIX\C_FACE_MIX_0226.jpg;N;Long;Wide set;Button;Soft Angled;Pixie cut;Curly;clean shaven;trianagle;pointed;no dimples;thin upper;hooded;oval
227;.\database\CHICAGO_MIX\C_FACE_MIX_0227.jpg;N;Square;Wide set;Snub;Flat;Pixie cut;Coily;clean shaven;trianagle;narrow;no dimples;thin upper;monolid;oval
228;.\database\CHICAGO_MIX\C_FACE_MIX_0228.jpg;N;Square;Close Set;Button;Soft Angled;Shaved;Shaved;goatee;trianagle;narrow;no dimples;natural;hooded;oval
229;.\database\CHICAGO_MIX\C_FACE_MIX_0229.jpg;N;Long;Close Set;Button;Flat;Shaved;Shaved;goatee;fat;narrow;no dimples;full;hooded;round
230;.\database\CHICAGO_MIX\C_FACE_MIX_0230.jpg;N;Long;Close Set;Funnel;Angled;Pixie cut;Coily;neat beard;trianagle;sticking out;no dimples;thin upper;hooded;square
231;.\database\CHICAGO_MIX\C_FACE_MIX_0231.jpg;N;Square;Wide set;Snub;Soft Angled;Pixie cut;Coily;clean shaven;trianagle;sticking out;no dimples;full;monolid;oval
232;.\database\CHICAGO_MIX\C_FACE_MIX_0232.jpg;N;Square;Wide set;Funnel;Angled;Pixie cut;Coily;neat beard;oval;narrow;no dimples;thin upper;monolid;oval
233;.\database\CHICAGO_MIX\C_FACE_MIX_0233.jpg;N;Long;Wide set;Snub;Soft Angled;Bald;Shaved;neat beard;fat;sticking out;no dimples;full;upturned;round
234;.\database\CHICAGO_MIX\C_FACE_MIX_0234.jpg;N;Square;Wide set;Funnel;Flat;Pixie cut;Curly;clean shaven;trianagle;sticking out;no dimples;full;hooded;oval
235;.\database\CHICAGO_MIX\C_FACE_MIX_0235.jpg;N;Oval;Wide set;Button;Soft Angled;Pixie cut;Curly;neat beard;trianagle;narrow;no dimples;thin upper;monolid;oval
236;.\database\CHICAGO_MIX\C_FACE_MIX_0236.jpg;N;Square;Close Set;Funnel;Flat;Shaved;Shaved;clean shaven;oval;sticking out;no dimples;full;almond;square
237;.\database\CHICAGO_MIX\C_FACE_MIX_0237.jpg;N;Square;Close Set;Funnel;Soft Angled;Shaved;Shaved;clean shaven;trianagle;sticking out;short dimplees;thin upper;almond;oval
238;.\database\CHICAGO_MIX\C_FACE_MIX_0238.jpg;N;Long;Wide set;Funnel;Flat;Shaved;Shaved;goatee;trianagle;sticking out;no dimples;thin upper;hooded;square
239;.\database\CHICAGO_MIX\C_FACE_MIX_0239.jpg;N;Oval;Close Set;Button;Soft Angled;Pixie cut;Wavy;neat beard;oval;sticking out;no dimples;full;hooded;oval
240;.\database\CHICAGO_MIX\C_FACE_MIX_0240.jpg;N;Long;Wide set;Button;Angled;Bald;Shaved;neat beard;oval;narrow;no dimples;natural;monolid;oval
241;.\database\CHICAGO_MIX\C_FACE_MIX_0241.jpg;N;Long;Wide set;Funnel;Flat;Pixie cut;Coily;neat beard;fat;narrow;no dimples;full;hooded;round
242;.\database\CHICAGO_MIX\C_FACE_MIX_0242.jpg;N;Square;Close Set;Button;Flat;Shaved;Shaved;neat beard;oval;narrow;no dimples;natural;almond;oval
243;.\database\CHICAGO_MIX\C_FACE_MIX_0243.jpg;N;Long;Wide set;Button;Soft Angled;Shaved;Shaved;clean shaven;trianagle;sticking out;no dimples;full;monolid;oval
244;.\database\CHICAGO_MIX\C_FACE_MIX_0244.jpg;N;Square;Wide set;Snub;Soft Angled;Shaved;Shaved;clean shaven;trianagle;narrow;no dimples;natural;monolid;oval
245;.\database\CHICAGO_MIX\C_FACE_MIX_0245.jpg;N;Round;Close Set;Button;Flat;Pixie cut;Coily;clean shaven;oval;narrow;short dimplees;thin upper;hooded;square
246;.\database\CHICAGO_MIX\C_FACE_MIX_0246.jpg;N;Square;Wide set;Funnel;Flat;Pixie cut;Coily;neat beard;oval;pointed;no dimples;full;almond;square
247;.\database\CHICAGO_MIX\C_FACE_MIX_0247.jpg;N;Long;Wide set;Button;Soft Angled;Bald;Shaved;neat beard;trianagle;sticking out;no dimples;full;hooded;oval
248;.\database\CHICAGO_MIX\C_FACE_MIX_0248.jpg;N;Square;Close Set;Funnel;Soft Angled;Pixie cut;Coily;neat beard;oval;narrow;no dimples;full;almond;oval
249;.\database\CHICAGO_MIX\C_FACE_MIX_0249.jpg;N;Long;Wide set;Button;Flat;Shaved;Shaved;neat beard;trianagle;narrow;no dimples;full;almond;oval
250;.\database\CHICAGO_MIX\C_FACE_MIX_0250.jpg;N;Long;Close Set;Button;Soft Angled;Shaved;Shaved;neat beard;fat;narrow;no dimples;thin upper;almond;round
251;.\database\CHICAGO_MIX\C_FACE_MIX_0251.jpg;N;Square;Close Set;Funnel;Angled;Pixie cut;Coily;clean shaven;trianagle;round;no dimples;full;monolid;square
252;.\database\CHICAGO_MIX\C_FACE_MIX_0252.jpg;N;Round;Close Set;Hooked;Rounded;Pixie cut;Coily;clean shaven;thin;attached;no dimples;small;upturned;oval
253;.\database\CHICAGO_MIX\C_FACE_MIX_0253.jpg;N;Long;Wide set;Button;Curved;Pixie cut;Coily;clean shaven;oval;narrow;no dimples;natural;upturned;square
254;.\database\CHICAGO_MIX\C_FACE_MIX_0254.jpg;N;Square;Wide set;Snub;Flat;Pixie cut;Coily;clean shaven;oval;round;no dimples;small;monolid;square
255;.\database\CHICAGO_MIX\C_FACE_MIX_0255.jpg;N;Long;Close Set;Droopy;Angled;Pixie cut;Curly;clean shaven;fat;narrow;no dimples;full;monolid;round
256;.\database\CHICAGO_MIX\C_FACE_MIX_0256.jpg;N;Oval;Close Set;Funnel;Curved;Pixie cut;Curly;clean shaven;oval;round;no dimples;full;monolid;oval
257;.\database\CHICAGO_MIX\C_FACE_MIX_0257.jpg;N;Square;Close Set;Droopy;Soft Angled;Pixie cut;Curly;clean shaven;oval;broad;no dimples;small;round;oval
258;.\database\CHICAGO_MIX\C_FACE_MIX_0258.jpg;N;Long;Close Set;Funnel;Rounded;Pixie cut;Coily;clean shaven;fat;narrow;no dimples;full;monolid;round
259;.\database\CHICAGO_MIX\C_FACE_MIX_0259.jpg;N;Round;Close Set;Snub;Angled;Bald;Straight;clean shaven;oval;attached;no dimples;small;upturned;oval
260;.\database\CHICAGO_MIX\C_FACE_MIX_0260.jpg;N;Square;Close Set;Snub;Soft Angled;Pixie cut;Coily;clean shaven;oval;round;no dimples;full;monolid;square
261;.\database\CHICAGO_MIX\C_FACE_MIX_0261.jpg;N;Square;Close Set;Button;Soft Angled;Pixie cut;Coily;clean shaven;oval;attached;no dimples;full;monolid;oval
262;.\database\CHICAGO_MIX\C_FACE_MIX_0262.jpg;N;Long;Close Set;Snub;Angled;Pixie cut;Coily;clean shaven;fat;narrow;no dimples;small;monolid;round
263;.\database\CHICAGO_MIX\C_FACE_MIX_0263.jpg;N;Square;Close Set;Funnel;Flat;Pixie cut;Coily;clean shaven;trianagle;narrow;no dimples;natural;upturned;square
264;.\database\CHICAGO_MIX\C_FACE_MIX_0264.jpg;N;Oval;Close Set;Button;Rounded;Pixie cut;Coily;clean shaven;oval;round;no dimples;thin upper;monolid;round
265;.\database\CHICAGO_MIX\C_FACE_MIX_0265.jpg;N;Square;Close Set;Snub;Curved;Pixie cut;Curly;clean shaven;oval;narrow;no dimples;thin;monolid;oval
266;.\database\CHICAGO_MIX\C_FACE_MIX_0266.jpg;N;Oval;Close Set;Snub;Curved;Pixie cut;Coily;clean shaven;oval;narrow;no dimples;full;monolid;round
267;.\database\CHICAGO_MIX\C_FACE_MIX_0267.jpg;N;Square;Close Set;Button;Rounded;Pixie cut;Coily;clean shaven;oval;round;no dimples;thin upper;monolid;oval
268;.\database\CHICAGO_MIX\C_FACE_MIX_0268.jpg;N;Long;Wide set;Button;Angled;Pixie cut;Coily;clean shaven;oval;sticking out;no dimples;natural;monolid;square
269;.\database\CHICAGO_MIX\C_FACE_MIX_0269.jpg;N;Square;Close Set;Droopy;Soft Angled;Mohawk;Coily;clean shaven;fat;round;no dimples;small;monolid;square
270;.\database\CHICAGO_MIX\C_FACE_MIX_0270.jpg;N;Oval;Close Set;Hooked;Curved;Pixie cut;Curly;clean shaven;thin;broad;no dimples;natural;upturned;oval
271;.\database\CHICAGO_MIX\C_FACE_MIX_0271.jpg;N;Long;Close Set;Roman;Angled;Pixie cut;Coily;clean shaven;oval;attached;no dimples;small;upturned;square
272;.\database\CHICAGO_MIX\C_FACE_MIX_0272.jpg;N;Square;Close Set;Button;Soft Angled;Dreadlocks;Wavy;clean shaven;oval;narrow;no dimples;full;monolid;oval
273;.\database\CHICAGO_MIX\C_FACE_MIX_0273.jpg;N;Oval;Close Set;Aquiline;Rounded;Pixie cut;Coily;clean shaven;oval;round;no dimples;thin upper;upturned;heart
274;.\database\CHICAGO_MIX\C_FACE_MIX_0274.jpg;N;Long;Close Set;Button;Soft Angled;Pixie cut;Coily;clean shaven;oval;narrow;no dimples;thin upper;monolid;round
275;.\database\CHICAGO_MIX\C_FACE_MIX_0275.jpg;N;Oval;Close Set;Funnel;Rounded;Bald;Straight;clean shaven;trianagle;attached;no dimples;full;monolid;square
276;.\database\CHICAGO_MIX\C_FACE_MIX_0276.jpg;N;Long;Close Set;Funnel;Angled;Pixie cut;Wavy;clean shaven;oval;narrow;no dimples;small;monolid;round
277;.\database\CHICAGO_MIX\C_FACE_MIX_0277.jpg;N;Round;Close Set;Snub;Angled;Bald;Straight;clean shaven;trianagle;attached;no dimples;natural;round;square
278;.\database\CHICAGO_MIX\C_FACE_MIX_0278.jpg;N;Square;Close Set;Aquiline;Curved;Pixie cut;Coily;clean shaven;thin;sticking out;no dimples;full;monolid;oval
279;.\database\CHICAGO_MIX\C_FACE_MIX_0279.jpg;N;Square;Close Set;Droopy;Soft Angled;Pixie cut;Coily;clean shaven;oval;round;no dimples;natural;upturned;square
280;.\database\CHICAGO_MIX\C_FACE_MIX_0280.jpg;N;Square;Close Set;Snub;Angled;Pixie cut;Coily;clean shaven;oval;round;no dimples;thin upper;monolid;square
281;.\database\CHICAGO_MIX\C_FACE_MIX_0281.jpg;N;Long;Close Set;Snub;Curved;Pixie cut;Coily;clean shaven;trianagle;round;no dimples;full;monolid;square
282;.\database\CHICAGO_MIX\C_FACE_MIX_0282.jpg;N;Long;Close Set;Button;Angled;Pixie cut;Coily;clean shaven;oval;narrow;no dimples;small;monolid;oval
283;.\database\CHICAGO_MIX\C_FACE_MIX_0283.jpg;N;Square;Close Set;Funnel;Angled;Pixie cut;Coily;clean shaven;oval;narrow;no dimples;full;monolid;square
284;.\database\CHICAGO_MIX\C_FACE_MIX_0284.jpg;N;Long;Wide set;Funnel;Soft Angled;Pixie cut;Coily;clean shaven;oval;attached;no dimples;small;monolid;square
285;.\database\CHICAGO_MIX\C_FACE_MIX_0285.jpg;N;Oval;Close Set;Snub;Curved;Bald;Straight;clean shaven;oval;round;no dimples;natural;upturned;square
286;.\database\CHICAGO_MIX\C_FACE_MIX_0286.jpg;N;Long;Close Set;Snub;Soft Angled;Pixie cut;Coily;clean shaven;trianagle;round;no dimples;thin;round;round
287;.\database\CHICAGO_MIX\C_FACE_MIX_0287.jpg;N;Square;Close Set;Upturned;Angled;Pixie cut;Coily;clean shaven;oval;round;no dimples;small;almond;square
288;.\database\CHICAGO_MIX\C_FACE_MIX_0288.jpg;N;Square;Close Set;Snub;Angled;Pixie cut;Coily;clean shaven;oval;round;no dimples;natural;monolid;square
289;.\database\CHICAGO_MIX\C_FACE_MIX_0289.jpg;N;Square;Close Set;Funnel;Rounded;Pixie cut;Coily;clean shaven;trianagle;narrow;no dimples;full;upturned;oval
290;.\database\CHICAGO_MIX\C_FACE_MIX_0290.jpg;N;Long;Close Set;Funnel;Angled;Pixie cut;Coily;clean shaven;oval;sticking out;no dimples;full;monolid;square
291;.\database\CHICAGO_MIX\C_FACE_MIX_0291.jpg;N;Square;Close Set;Snub;Angled;Pixie cut;Coily;clean shaven;oval;broad;no dimples;thin upper;monolid;oval
292;.\database\CHICAGO_MIX\C_FACE_MIX_0292.jpg;N;Long;Close Set;Funnel;Angled;Pixie cut;Coily;clean shaven;trianagle;attached;no dimples;full;upturned;square
293;.\database\CHICAGO_MIX\C_FACE_MIX_0293.jpg;N;Square;Close Set;Funnel;Soft Angled;Bald;Straight;clean shaven;oval;round;no dimples;full;monolid;square
294;.\database\CHICAGO_MIX\C_FACE_MIX_0294.jpg;N;Long;Close Set;Droopy;Curved;Pixie cut;Curly;clean shaven;oval;attached;no dimples;thin upper;monolid;square
295;.\database\CHICAGO_MIX\C_FACE_MIX_0295.jpg;N;Oval;Close Set;Funnel;Curved;Bald;Straight;clean shaven;oval;round;no dimples;natural;monolid;square
296;.\database\CHICAGO_MIX\C_FACE_MIX_0296.jpg;N;Round;Close Set;Snub;Rounded;Bald;Straight;clean shaven;oval;attached;no dimples;small;monolid;square
297;.\database\CHICAGO_MIX\C_FACE_MIX_0297.jpg;N;Square;Close Set;Funnel;Soft Angled;Pixie cut;Coily;clean shaven;oval;round;no dimples;thin;upturned;square
298;.\database\CHICAGO_MIX\C_FACE_MIX_0298.jpg;N;Long;Close Set;Funnel;Angled;Bald;Straight;clean shaven;oval;round;no dimples;natural;upturned;round
299;.\database\CHICAGO_MIX\C_FACE_MIX_0299.jpg;N;Square;Close Set;Droopy;Curved;Pixie cut;Coily;clean shaven;oval;broad;no dimples;thin upper;monolid;oval
300;.\database\CHICAGO_MIX\C_FACE_MIX_0300.jpg;N;Long;Close Set;Aquiline;Curved;Pixie cut;Coily;clean shaven;trianagle;attached;no dimples;small;upturned;oval
301;.\database\CHICAGO_MIX\C_FACE_MIX_0301.jpg;N;Long;Wide set;Snub;Soft Angled;Pixie cut;Coily;clean shaven;diamond;sticking out;no dimples;thin upper;upturned;square
302;.\database\CHICAGO_MIX\C_FACE_MIX_0302.jpg;N;Oval;Close Set;Snub;Angled;Bald;Shaved;clean shaven;diamond;narrow;no dimples;thin upper;round;square
303;.\database\CHICAGO_MIX\C_FACE_MIX_0303.jpg;N;Long;Wide set;Snub;Angled;Pixie cut;Coily;clean shaven;diamond;sticking out;no dimples;natural;monolid;oval
304;.\database\CHICAGO_MIX\C_FACE_MIX_0304.jpg;N;Oval;Wide set;Upturned;Soft Angled;Bald;Shaved;clean shaven;oval;narrow;no dimples;natural;round;oval
305;.\database\CHICAGO_MIX\C_FACE_MIX_0305.jpg;N;Long;Close Set;Button;Curved;Dreadlocks;Curly;clean shaven;trianagle;sticking out;no dimples;thin upper;almond;diamond
306;.\database\CHICAGO_MIX\C_FACE_MIX_0306.jpg;N;Long;Close Set;Droopy;Flat;Medium length;Wavy;clean shaven;diamond;round;no dimples;natural;monolid;oval
